referenceProduitPartenaire;ean;title;description;category;brand;price;currency;stock;weightKg;imageUrl;status;isFeatured;isBestSeller;isFlashSale
REAL-PROD-001;0000000000001;APPLE IPHONE 14 128GB - Édition 1;Smartphone Apple iPhone 14 avec écran OLED 6,1 pouces, puce A15 Bionic et double capteur photo. (Édition 1). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > SMARTPHONE > APPLE;APPLE;36700;FCFA;16;0.95;https://picsum.photos/seed/iphone14-1/900/900;ACTIVE;False;False;False
REAL-PROD-002;0000000000002;APPLE IPHONE 14 128GB - Édition 2;Smartphone Apple iPhone 14 avec écran OLED 6,1 pouces, puce A15 Bionic et double capteur photo. (Édition 2). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > SMARTPHONE > APPLE;APPLE;38400;FCFA;17;1.2;https://picsum.photos/seed/iphone14-2/900/900;ACTIVE;False;False;False
REAL-PROD-003;0000000000003;APPLE IPHONE 14 128GB - Édition 3;Smartphone Apple iPhone 14 avec écran OLED 6,1 pouces, puce A15 Bionic et double capteur photo. (Édition 3). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > SMARTPHONE > APPLE;APPLE;40100;FCFA;18;1.45;https://picsum.photos/seed/iphone14-3/900/900;ACTIVE;False;False;False
REAL-PROD-004;0000000000004;APPLE IPHONE 14 128GB - Édition 4;Smartphone Apple iPhone 14 avec écran OLED 6,1 pouces, puce A15 Bionic et double capteur photo. (Édition 4). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > SMARTPHONE > APPLE;APPLE;41800;FCFA;19;1.7;https://picsum.photos/seed/iphone14-4/900/900;ACTIVE;False;True;False
REAL-PROD-005;0000000000005;APPLE IPHONE 14 128GB - Édition 5;Smartphone Apple iPhone 14 avec écran OLED 6,1 pouces, puce A15 Bionic et double capteur photo. (Édition 5). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > SMARTPHONE > APPLE;APPLE;43500;FCFA;20;1.95;https://picsum.photos/seed/iphone14-5/900/900;ACTIVE;False;False;False
REAL-PROD-006;0000000000006;SAMSUNG GALAXY S23 - Édition 1;Smartphone Samsung Galaxy S23 avec écran AMOLED 120Hz, Snapdragon 8 Gen 2 et appareil photo 50MP. (Édition 1). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > SMARTPHONE > SAMSUNG;SAMSUNG;45200;FCFA;21;0.7;https://picsum.photos/seed/galaxy-s23-1/900/900;ACTIVE;True;False;False
REAL-PROD-007;0000000000007;SAMSUNG GALAXY S23 - Édition 2;Smartphone Samsung Galaxy S23 avec écran AMOLED 120Hz, Snapdragon 8 Gen 2 et appareil photo 50MP. (Édition 2). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > SMARTPHONE > SAMSUNG;SAMSUNG;46900;FCFA;22;0.95;https://picsum.photos/seed/galaxy-s23-2/900/900;ACTIVE;False;False;False
REAL-PROD-008;0000000000008;SAMSUNG GALAXY S23 - Édition 3;Smartphone Samsung Galaxy S23 avec écran AMOLED 120Hz, Snapdragon 8 Gen 2 et appareil photo 50MP. (Édition 3). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > SMARTPHONE > SAMSUNG;SAMSUNG;48600;FCFA;23;1.2;https://picsum.photos/seed/galaxy-s23-3/900/900;ACTIVE;False;True;False
REAL-PROD-009;0000000000009;SAMSUNG GALAXY S23 - Édition 4;Smartphone Samsung Galaxy S23 avec écran AMOLED 120Hz, Snapdragon 8 Gen 2 et appareil photo 50MP. (Édition 4). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > SMARTPHONE > SAMSUNG;SAMSUNG;50300;FCFA;24;1.45;https://picsum.photos/seed/galaxy-s23-4/900/900;ACTIVE;False;False;False
REAL-PROD-010;0000000000010;SAMSUNG GALAXY S23 - Édition 5;Smartphone Samsung Galaxy S23 avec écran AMOLED 120Hz, Snapdragon 8 Gen 2 et appareil photo 50MP. (Édition 5). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > SMARTPHONE > SAMSUNG;SAMSUNG;52000;FCFA;25;1.7;https://picsum.photos/seed/galaxy-s23-5/900/900;ACTIVE;False;False;True
REAL-PROD-011;0000000000011;NIKE AIR FORCE 1 - Édition 1;Chaussures Nike Air Force 1 iconiques, confortables et résistantes pour un usage quotidien. (Édition 1). Garantie 12 mois, livraison rapide.;MODE > CHAUSSURES > BASKETS;NIKE;53700;FCFA;26;1.95;https://picsum.photos/seed/nike-air-force-1-1/900/900;ACTIVE;False;False;False
REAL-PROD-012;0000000000012;NIKE AIR FORCE 1 - Édition 2;Chaussures Nike Air Force 1 iconiques, confortables et résistantes pour un usage quotidien. (Édition 2). Garantie 12 mois, livraison rapide.;MODE > CHAUSSURES > BASKETS;NIKE;55400;FCFA;27;0.7;https://picsum.photos/seed/nike-air-force-1-2/900/900;ACTIVE;True;True;False
REAL-PROD-013;0000000000013;NIKE AIR FORCE 1 - Édition 3;Chaussures Nike Air Force 1 iconiques, confortables et résistantes pour un usage quotidien. (Édition 3). Garantie 12 mois, livraison rapide.;MODE > CHAUSSURES > BASKETS;NIKE;57100;FCFA;28;0.95;https://picsum.photos/seed/nike-air-force-1-3/900/900;ACTIVE;False;False;False
REAL-PROD-014;0000000000014;NIKE AIR FORCE 1 - Édition 4;Chaussures Nike Air Force 1 iconiques, confortables et résistantes pour un usage quotidien. (Édition 4). Garantie 12 mois, livraison rapide.;MODE > CHAUSSURES > BASKETS;NIKE;58800;FCFA;29;1.2;https://picsum.photos/seed/nike-air-force-1-4/900/900;ACTIVE;False;False;False
REAL-PROD-015;0000000000015;NIKE AIR FORCE 1 - Édition 5;Chaussures Nike Air Force 1 iconiques, confortables et résistantes pour un usage quotidien. (Édition 5). Garantie 12 mois, livraison rapide.;MODE > CHAUSSURES > BASKETS;NIKE;60500;FCFA;30;1.45;https://picsum.photos/seed/nike-air-force-1-5/900/900;ACTIVE;False;False;False
REAL-PROD-016;0000000000016;ADIDAS ULTRABOOST - Édition 1;Chaussures de running Adidas Ultraboost avec amorti Boost et maintien optimal. (Édition 1). Garantie 12 mois, livraison rapide.;MODE > CHAUSSURES > RUNNING;ADIDAS;62200;FCFA;31;1.7;https://picsum.photos/seed/adidas-ultraboost-1/900/900;ACTIVE;False;True;False
REAL-PROD-017;0000000000017;ADIDAS ULTRABOOST - Édition 2;Chaussures de running Adidas Ultraboost avec amorti Boost et maintien optimal. (Édition 2). Garantie 12 mois, livraison rapide.;MODE > CHAUSSURES > RUNNING;ADIDAS;63900;FCFA;32;1.95;https://picsum.photos/seed/adidas-ultraboost-2/900/900;ACTIVE;False;False;False
REAL-PROD-018;0000000000018;ADIDAS ULTRABOOST - Édition 3;Chaussures de running Adidas Ultraboost avec amorti Boost et maintien optimal. (Édition 3). Garantie 12 mois, livraison rapide.;MODE > CHAUSSURES > RUNNING;ADIDAS;65600;FCFA;33;0.7;https://picsum.photos/seed/adidas-ultraboost-3/900/900;ACTIVE;True;False;False
REAL-PROD-019;0000000000019;ADIDAS ULTRABOOST - Édition 4;Chaussures de running Adidas Ultraboost avec amorti Boost et maintien optimal. (Édition 4). Garantie 12 mois, livraison rapide.;MODE > CHAUSSURES > RUNNING;ADIDAS;67300;FCFA;34;0.95;https://picsum.photos/seed/adidas-ultraboost-4/900/900;ACTIVE;False;False;False
REAL-PROD-020;0000000000020;ADIDAS ULTRABOOST - Édition 5;Chaussures de running Adidas Ultraboost avec amorti Boost et maintien optimal. (Édition 5). Garantie 12 mois, livraison rapide.;MODE > CHAUSSURES > RUNNING;ADIDAS;69000;FCFA;35;1.2;https://picsum.photos/seed/adidas-ultraboost-5/900/900;ACTIVE;False;True;True
REAL-PROD-021;0000000000021;MACBOOK AIR M2 - Édition 1;Ordinateur portable Apple MacBook Air M2, léger, puissant et idéal pour le travail. (Édition 1). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > ORDINATEUR > PORTABLE;APPLE;70700;FCFA;36;1.45;https://picsum.photos/seed/macbook-air-m2-1/900/900;ACTIVE;False;False;False
REAL-PROD-022;0000000000022;MACBOOK AIR M2 - Édition 2;Ordinateur portable Apple MacBook Air M2, léger, puissant et idéal pour le travail. (Édition 2). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > ORDINATEUR > PORTABLE;APPLE;72400;FCFA;37;1.7;https://picsum.photos/seed/macbook-air-m2-2/900/900;ACTIVE;False;False;False
REAL-PROD-023;0000000000023;MACBOOK AIR M2 - Édition 3;Ordinateur portable Apple MacBook Air M2, léger, puissant et idéal pour le travail. (Édition 3). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > ORDINATEUR > PORTABLE;APPLE;74100;FCFA;38;1.95;https://picsum.photos/seed/macbook-air-m2-3/900/900;ACTIVE;False;False;False
REAL-PROD-024;0000000000024;MACBOOK AIR M2 - Édition 4;Ordinateur portable Apple MacBook Air M2, léger, puissant et idéal pour le travail. (Édition 4). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > ORDINATEUR > PORTABLE;APPLE;75800;FCFA;39;0.7;https://picsum.photos/seed/macbook-air-m2-4/900/900;ACTIVE;True;True;False
REAL-PROD-025;0000000000025;MACBOOK AIR M2 - Édition 5;Ordinateur portable Apple MacBook Air M2, léger, puissant et idéal pour le travail. (Édition 5). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > ORDINATEUR > PORTABLE;APPLE;77500;FCFA;15;0.95;https://picsum.photos/seed/macbook-air-m2-5/900/900;ACTIVE;False;False;False
REAL-PROD-026;0000000000026;SAMSUNG TV QLED 55 - Édition 1;Téléviseur Samsung QLED 55 pouces 4K UHD avec HDR10+ et Smart TV. (Édition 1). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > TV > QLED;SAMSUNG;79200;FCFA;16;1.2;https://picsum.photos/seed/samsung-qled-55-1/900/900;ACTIVE;False;False;False
REAL-PROD-027;0000000000027;SAMSUNG TV QLED 55 - Édition 2;Téléviseur Samsung QLED 55 pouces 4K UHD avec HDR10+ et Smart TV. (Édition 2). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > TV > QLED;SAMSUNG;80900;FCFA;17;1.45;https://picsum.photos/seed/samsung-qled-55-2/900/900;ACTIVE;False;False;False
REAL-PROD-028;0000000000028;SAMSUNG TV QLED 55 - Édition 3;Téléviseur Samsung QLED 55 pouces 4K UHD avec HDR10+ et Smart TV. (Édition 3). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > TV > QLED;SAMSUNG;82600;FCFA;18;1.7;https://picsum.photos/seed/samsung-qled-55-3/900/900;ACTIVE;False;True;False
REAL-PROD-029;0000000000029;SAMSUNG TV QLED 55 - Édition 4;Téléviseur Samsung QLED 55 pouces 4K UHD avec HDR10+ et Smart TV. (Édition 4). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > TV > QLED;SAMSUNG;84300;FCFA;19;1.95;https://picsum.photos/seed/samsung-qled-55-4/900/900;ACTIVE;False;False;False
REAL-PROD-030;0000000000030;SAMSUNG TV QLED 55 - Édition 5;Téléviseur Samsung QLED 55 pouces 4K UHD avec HDR10+ et Smart TV. (Édition 5). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > TV > QLED;SAMSUNG;86000;FCFA;20;0.7;https://picsum.photos/seed/samsung-qled-55-5/900/900;ACTIVE;True;False;True
REAL-PROD-031;0000000000031;SONY WH-1000XM5 - Édition 1;Casque Sony à réduction de bruit active avec une autonomie longue durée. (Édition 1). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > AUDIO > CASQUE;SONY;87700;FCFA;21;0.95;https://picsum.photos/seed/sony-wh-1000xm5-1/900/900;ACTIVE;False;False;False
REAL-PROD-032;0000000000032;SONY WH-1000XM5 - Édition 2;Casque Sony à réduction de bruit active avec une autonomie longue durée. (Édition 2). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > AUDIO > CASQUE;SONY;89400;FCFA;22;1.2;https://picsum.photos/seed/sony-wh-1000xm5-2/900/900;ACTIVE;False;True;False
REAL-PROD-033;0000000000033;SONY WH-1000XM5 - Édition 3;Casque Sony à réduction de bruit active avec une autonomie longue durée. (Édition 3). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > AUDIO > CASQUE;SONY;91100;FCFA;23;1.45;https://picsum.photos/seed/sony-wh-1000xm5-3/900/900;ACTIVE;False;False;False
REAL-PROD-034;0000000000034;SONY WH-1000XM5 - Édition 4;Casque Sony à réduction de bruit active avec une autonomie longue durée. (Édition 4). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > AUDIO > CASQUE;SONY;92800;FCFA;24;1.7;https://picsum.photos/seed/sony-wh-1000xm5-4/900/900;ACTIVE;False;False;False
REAL-PROD-035;0000000000035;SONY WH-1000XM5 - Édition 5;Casque Sony à réduction de bruit active avec une autonomie longue durée. (Édition 5). Garantie 12 mois, livraison rapide.;ELECTRONIQUE > AUDIO > CASQUE;SONY;94500;FCFA;25;1.95;https://picsum.photos/seed/sony-wh-1000xm5-5/900/900;ACTIVE;False;False;False
REAL-PROD-036;0000000000036;DYSON V11 ABSOLUTE - Édition 1;Aspirateur balai Dyson V11 puissant avec filtration avancée. (Édition 1). Garantie 12 mois, livraison rapide.;MAISON > ELECTROMENAGER > ASPIRATEUR;DYSON;96200;FCFA;26;0.7;https://picsum.photos/seed/dyson-v11-absolute-1/900/900;ACTIVE;True;True;False
REAL-PROD-037;0000000000037;DYSON V11 ABSOLUTE - Édition 2;Aspirateur balai Dyson V11 puissant avec filtration avancée. (Édition 2). Garantie 12 mois, livraison rapide.;MAISON > ELECTROMENAGER > ASPIRATEUR;DYSON;97900;FCFA;27;0.95;https://picsum.photos/seed/dyson-v11-absolute-2/900/900;ACTIVE;False;False;False
REAL-PROD-038;0000000000038;DYSON V11 ABSOLUTE - Édition 3;Aspirateur balai Dyson V11 puissant avec filtration avancée. (Édition 3). Garantie 12 mois, livraison rapide.;MAISON > ELECTROMENAGER > ASPIRATEUR;DYSON;99600;FCFA;28;1.2;https://picsum.photos/seed/dyson-v11-absolute-3/900/900;ACTIVE;False;False;False
REAL-PROD-039;0000000000039;DYSON V11 ABSOLUTE - Édition 4;Aspirateur balai Dyson V11 puissant avec filtration avancée. (Édition 4). Garantie 12 mois, livraison rapide.;MAISON > ELECTROMENAGER > ASPIRATEUR;DYSON;101300;FCFA;29;1.45;https://picsum.photos/seed/dyson-v11-absolute-4/900/900;ACTIVE;False;False;False
REAL-PROD-040;0000000000040;DYSON V11 ABSOLUTE - Édition 5;Aspirateur balai Dyson V11 puissant avec filtration avancée. (Édition 5). Garantie 12 mois, livraison rapide.;MAISON > ELECTROMENAGER > ASPIRATEUR;DYSON;103000;FCFA;30;1.7;https://picsum.photos/seed/dyson-v11-absolute-5/900/900;ACTIVE;False;True;True
REAL-PROD-041;0000000000041;LOGITECH MX MASTER 3 - Édition 1;Souris sans fil Logitech MX Master 3 ergonomique pour professionnels. (Édition 1). Garantie 12 mois, livraison rapide.;INFORMATIQUE > ACCESSOIRES > SOURIS;LOGITECH;104700;FCFA;31;1.95;https://picsum.photos/seed/logitech-mx-master-3-1/900/900;ACTIVE;False;False;False
REAL-PROD-042;0000000000042;LOGITECH MX MASTER 3 - Édition 2;Souris sans fil Logitech MX Master 3 ergonomique pour professionnels. (Édition 2). Garantie 12 mois, livraison rapide.;INFORMATIQUE > ACCESSOIRES > SOURIS;LOGITECH;106400;FCFA;32;0.7;https://picsum.photos/seed/logitech-mx-master-3-2/900/900;ACTIVE;True;False;False
REAL-PROD-043;0000000000043;LOGITECH MX MASTER 3 - Édition 3;Souris sans fil Logitech MX Master 3 ergonomique pour professionnels. (Édition 3). Garantie 12 mois, livraison rapide.;INFORMATIQUE > ACCESSOIRES > SOURIS;LOGITECH;108100;FCFA;33;0.95;https://picsum.photos/seed/logitech-mx-master-3-3/900/900;ACTIVE;False;False;False
REAL-PROD-044;0000000000044;LOGITECH MX MASTER 3 - Édition 4;Souris sans fil Logitech MX Master 3 ergonomique pour professionnels. (Édition 4). Garantie 12 mois, livraison rapide.;INFORMATIQUE > ACCESSOIRES > SOURIS;LOGITECH;109800;FCFA;34;1.2;https://picsum.photos/seed/logitech-mx-master-3-4/900/900;ACTIVE;False;True;False
REAL-PROD-045;0000000000045;LOGITECH MX MASTER 3 - Édition 5;Souris sans fil Logitech MX Master 3 ergonomique pour professionnels. (Édition 5). Garantie 12 mois, livraison rapide.;INFORMATIQUE > ACCESSOIRES > SOURIS;LOGITECH;111500;FCFA;35;1.45;https://picsum.photos/seed/logitech-mx-master-3-5/900/900;ACTIVE;False;False;False
REAL-PROD-046;0000000000046;PLAYSTATION 5 - Édition 1;Console Sony PlayStation 5 avec graphismes nouvelle génération et SSD ultra-rapide. (Édition 1). Garantie 12 mois, livraison rapide.;JEUX VIDEO > CONSOLES > SONY;SONY;113200;FCFA;36;1.7;https://picsum.photos/seed/playstation-5-1/900/900;ACTIVE;False;False;False
REAL-PROD-047;0000000000047;PLAYSTATION 5 - Édition 2;Console Sony PlayStation 5 avec graphismes nouvelle génération et SSD ultra-rapide. (Édition 2). Garantie 12 mois, livraison rapide.;JEUX VIDEO > CONSOLES > SONY;SONY;114900;FCFA;37;1.95;https://picsum.photos/seed/playstation-5-2/900/900;ACTIVE;False;False;False
REAL-PROD-048;0000000000048;PLAYSTATION 5 - Édition 3;Console Sony PlayStation 5 avec graphismes nouvelle génération et SSD ultra-rapide. (Édition 3). Garantie 12 mois, livraison rapide.;JEUX VIDEO > CONSOLES > SONY;SONY;116600;FCFA;38;0.7;https://picsum.photos/seed/playstation-5-3/900/900;ACTIVE;True;True;False
REAL-PROD-049;0000000000049;PLAYSTATION 5 - Édition 4;Console Sony PlayStation 5 avec graphismes nouvelle génération et SSD ultra-rapide. (Édition 4). Garantie 12 mois, livraison rapide.;JEUX VIDEO > CONSOLES > SONY;SONY;118300;FCFA;39;0.95;https://picsum.photos/seed/playstation-5-4/900/900;ACTIVE;False;False;False
REAL-PROD-050;0000000000050;PLAYSTATION 5 - Édition 5;Console Sony PlayStation 5 avec graphismes nouvelle génération et SSD ultra-rapide. (Édition 5). Garantie 12 mois, livraison rapide.;JEUX VIDEO > CONSOLES > SONY;SONY;120000;FCFA;15;1.2;https://picsum.photos/seed/playstation-5-5/900/900;ACTIVE;False;False;True
